headline,sentiment
TONAKHOLO O ETELA MOPORESITENTE,positive
MOHOEBI O QOSOA KA BOBOLU HAPE,negative
HO NTŠOA MAKHOMOSHA A 77 LE LITOPO TSE HLANO MOKOTING EBILE BA LLELOA KE LITŠEPE,negative
MOETAPELE O TELLA SECHABA ,negative
MONNA O UTSOETSA KEREKE O BATOLOA LILEMO TSE LESHOME TORONKONG,negative
MONNA O ROBALA MOSALI LE MORALI'AE,negative
MOPARAMENTE KHOTLA,negative
KHAREBE E HLABA MOHLANKANA OA EONA KA THIPA SETEREKENG,negative
MONAMOLI O SIBOLLA MASISA-PELO,negative
MONNA O NOETSE KA LETAMONG,negative
NGOANA O HLAJOA KE THUPA KA LEIHLONG,negative
NGAKA EA LEKOEREKOERE E TŠOEROE,negative
SECHABA SE FUMANA TLHABOLLO ,positive
BA FUMANOA KA LITHETHEFATSI,negative
LINAHA TSE KHOLO LI ITUKISETSA NTOA,negative
LITHUNYA LI NYAMELA MOTEBONG OA SEPOLESA,negative
NGOANANA O UTSOA LIAPARO TSA MONGA HAE LE TSA BANA,negative
MONNA O QOSOA KA HO HLABA BATHO KA THIPA,negative
KOMISI E BITSA LIKHETHO,positive
MONNA O QETA HO TŠOLA TLHAKO MORONG KAMORA HO TETEKA MOSALI,negative
MONNA EA BOLAUOENG KE KOLOI O NE A ENA LE BOTHATA BA KELELLO ,negative
BABUSI BA MEHLENG BA MAKALLA TONAKHOLO,negative
SETHUNYA SA EJA MOTHO RA MAKALA,negative
KEREKE E FANA KA KOLOI ,positive
MOSUOE-HLOOHO LE TICHERE,neutral
LITEFISO TSE NCHA TSA MAKOLOI,positive
O QOSOA KA HO KENA KA HARA NAHA KA KHOROANA TSA MATSA,negative
HO QHOMA E MAHLO-MAFUBELU,negative
MONNA O LITLAMONG KA PELAELLO EA HO HLEKEFETSA KA MOTABO,negative
UTLOA SE ETSAHETSENG KA MOSHEMANE EA SHOELETSENG MOPHATONG SETEREKENG,negative
LEPOLESA LE TORONKELA HO BOLAEA MOTHO,negative
NGOANA O QETA HO CHELLA KATLUNG,negative
BA BATLA HO MO SULUBANYA HO NTSE HO LE JOALO,negative
MEKHATLO E FA SEPOLESA KOLOI,positive
SEFAKO SE LINAKA SE METLETSANA TOROPO,negative
THUSANG BATHO TSIETSI E HLAHILE,negative
NKHONO MORALI LE SETLOHOLO BA QHALILE KEMARO,negative
KAMORA HO TSOARELANA MOSALI O TSOHA BOSIU O HLABELA MONNA LEFU,negative
LESOLE LE BOLAOA KA CHEFU TORONKONG,negative
BAHOEBI BA QOSOA KA HO REKISETSA BAREKI LIJO TSE FELLETSOENG KE NAKO,negative
PAKI E FETOHELA BAPAKI BA EONA KA KHOTLA,negative
MONNA O QETA HO THUNYA MOSALI OA HAE,negative
THEKO EA NAMA LE MAHE E TLO NYOLOHA HAMPE HAHOLO,negative
BA RE SEBAPALI SA BOLO SE NA LE LETEMONA ,negative
MOPOLOTIKI O KOPA SECHABA SE MOKHETHE,negative
O BATLA MASIBA A MPSHE A M30 000,negative
SEPOLESA SE HLAHLOBA MEHLAPE,positive
BATHO BA BAHLANO BA THUNYETSOA LEFU SETEREKENG,negative
MORENA O PHURA LESHOETLA LE MOPAPA,neutral
MONNA O RE SECHABA SE NYATSA LITABANE KAHONA HA A SA HLOLA A LE BEHA KAHARA NAHA,negative
NGAKA E BOLAOA KA HO HLAJOA MAQEBA A 16 KA NTHO E BOHALE,negative
NYEOE EA TREASON E FARETSE BOPAKI BO MAFEKEFEKE,negative
SEPOLESA SE PHOLOSA LIKHOMO TSE THARO,positive
MONNA O NYEKENYA NGOANA KA THIPA HO FIHLELLA A NEHELA MOEA,negative
KOLOI E PHETHOHA KA BATHO BA 12 ,negative
MOTSOETSE O FUMANOA LENYALONG,positive
TONAKHOLO O PHALLELA BATHO BA TOROPO KA LIJO,positive
BAKULI BATLO SHOA KA HARA NAHA,negative
LEKHOTLA LE HAPA M4 180 EA BAKHOSHELI ,positive
TONAKHOLO O NTŠA GAZETTE E QOBELLANG HO ENTA,negative
MONNA O KHAMA OA HAE OA LITJEPA ,negative
TSEBA MARENA A SEHLOOHO A NAHA,neutral
LEKHOTLA LE LAHLELA MOLATA KA BANNENG,negative
SEPOLESA SE TŠIRELETSA BOPHELO LE THEPA,positive
BAITHUTI BA SEKOLO SE PHAHAMENG BA BOIPELAETSONG,negative
MOSALI O BOLAUOE A EA MOSEBETSING KAJENO,negative
MAPARAMENTE A 7 A 'MUSO A BATLA HO TŠELELA KA HO BOHANYETSI,negative
BA BOLAEA LEPOLESA KA SETHUNYA,negative
RUA TSEBO KA MAFAPHA A SEPOLESA SA HENO,positive
MATICHERE A FANYEHA MOHOANTO ,positive
LEPARAMENTE LE LENG LE HLAHISA 'MALA OA LONA,negative
PAKI E ITOMA MALEME KA KHOTLA E FETOHELA BOPAKI BA EONA,negative
TONAKHOLO O ENTSE PUO AMERIKA A IPHUTHUMALITSE KA LEFITORI,positive
MONNA O FETOLA BARALI BA HAE MAKHOBA A THOBALANO O BA ROBETSE MAKHETLO A SA BALOENG,negative
MOHLOLO OA TABA NA LITSI TSA TŠIRELETSO LI CAPTURED,negative
LIHLOPHA TSA BOIPELETSO LI ETELOA KE SEPOLESA,positive
TONAKHOLO O PAPAELA KA KOLOEANA EA HAE TLHOLISANONG,positive
MONNA O QOSOA KA POLAO EA MOTHO ,negative
MONNA O KENA NTLOANA-TŠOANA KA HO HLEKA-HLEKA MOSALI,negative
MASOLE LE MAPOLESA A TLA NGOLA LIHLAHLOBO SEKOLONG SE PHAHAMENG,positive
LIKHOMO LI FUMANOA KA MORUNG,positive
'MUSO O PHATLATSA SELEKANE SE SECHA,positive
KOTSI E MPE EA KOLOI,negative
LESHOLU LE IPATA KA HARA PHOOFO,negative
PUSO EA TONAKHOLO E JA LEFA LA 'MUSO O FETILENG,positive
UTLOA TSA MORAO-RAO KA MONNA LE MOSALI BA THUNYELITSOENG LEFU BOSIU,negative
LEBENKELE LE OELE BASEBETSI BA IKABILE KA STOCK,negative
MOHOEBI O LOKISA BOEMAFOFANE KA CHELETE EA HAE,positive
SENOAMALI SE TŠAJOANG HAHOLO SE BUA LIKAKATA LIBE KE BATLA MASOBA,negative
BANNA BA AHLOLOA KA LITHUNYA TSE SENG MOLAONG ,negative
MONNA O REKISETSA BATHO LITOKOMANE TSA MOKUNYATA,negative
MONNA O QOSOA KA PETO EA MORALI OA HAE,negative
MOSHANYANA O TORONKELA HO HLAISA MORIRI OA BOTONA HO NGOANANA,negative
BAKULI BA EANG SEPETLELE BOSIU BA MATHATENG,negative
MOQHOBI O LIHA KOLOI KA COTHO EA JOALA,negative
E MONG OA BANANA BA BOLAUOENG O OA BOLOKOA,negative
MONNA O HLEKEFETSA MORALI OA HAE KA MOTABO SETEREKENG,negative
LITABA TSE MONATE HO MATAOA,positive
SETHO SA PHATHI SE ITOMA MOHATLA ,negative
BONA TŠENYO E BAKILOENG KE BATHO,negative
BOIPELAETSO KA SEKOLONG SE PHAHAMENG,negative
NGOANESO O NYAMETSE HAKE TEREKA PHONE TSA BONA LI HLAHA MORUNG,negative
KE BOSIU BA BOBELI BONA NGOANA A NYAMETSE BOTARENG,negative
LEFAPHA LA LITIMA-MOLLO LE PHOLOSO LE RUPELA LITICHERE ,positive
BA QETA LILEMO TSE 25 BA NTSE BA SEBELETSA SECHABA,positive
BAREKI BA NAHA BA RE KHOEBO EA LIJO KE BAJI BA NYOLLA LI-PRICE HAO FIHLA KA SECHURANENG,negative
NGOANA O NYAMELA A ROBETSE A LE MONG,negative
SEPOLESA SE TŠOERE BABOLAI BA SEBOHOLI,positive
MOSALI ESALE A NYAMELA LE NGOANA KHOELING E FETILENG,negative
BASHANYANA BA BOLAILENG MOITHUTI OA SEKOLO KHOTLA,negative
MOOKAMELI O MAKALLA HO TŠOAROA HA MOETAPELE,negative
TONAKHOLO O LOKISA LITSELA,positive
BABELAELLOA BA QOSOA KA HO UTSOA MATSEBETSEBE A 'MUSO,negative
MOSALI O AHLOLOA LILEMO TSE 10 CHANKANENG,negative
MOOKAMELI O NGALA LIPOTSONG,negative
MOSHANYANA O BETA NGOANA EA LILEMO LI HLANO,negative
MOKHETHOA O ITELA BOOTLOANE HO TONAKHOLO,positive
PINA EA SEBINI E MAKATSA BATHO,positive
MOHLORISI OA LIHOAI O AHLOLOA LILEMO TSE 12 NTLE LE HO ITEFELLA,negative
BANKA E TSEKA HORE BATHO BA JANE MAOTOANA,negative
KETEKELO EA KHOELI EA SEPOLESA,positive
LEKHOTLA LE LAELA HORE MONNA EA NANG LE BOFOFU A LOKOLLELOE SETHUNYA,positive
MOLAETSA O POTLAKILENG,neutral
BACHA BARE TŠITŠINYO EA MOPARAMENTE E KA THOKO HO MOLAO,negative
O 'MOLAETSE MAHLONG A MOR'A BONA,negative
MOOKAMELI O LLA KA SEPOLESA,negative
MASOLE A TSOANG NTOENG A PUTSOA KA M100 000,positive
THOTO E FUMANOENG EA MALAHLEHA,positive
MASECHURITHI A FAOTSENG MOTHO A AHOTSOE LILEMO TSE 30 NTLOANA-TŠOANA,negative
MOKHOTHALETSUOA O HOKELLA SECHABA MOTLAKASE ,positive
MAMELA TABA TSA MOLOI A TŠOEROENG HOTELENG,negative
MONNA O TŠOEROE A NTSE A BETA KOLOBE SECHABA SE NTSE SE MO KHAKHATHA,negative
KOLOI E CHAISA MOSALI TOROPONG,negative
MOSALI O HANA CHELETE,negative
MORENA O QELA NGOANANA LIKOBO KA LEKHOLO LA MALOTI,negative
MOSALI O LLA KA LANDLORD E UTSOANG LIJO HA A LE SIEO,negative
KHATISO E RE LITHO TSA PHATHI LI EA TSEBA KA NYATSI EA MOETAPELE,negative
NGOANA O INOLOA KA LETAMONG,positive
MATLO A MOTSE A SESA KA HARA METSI BOROKHO BA NAKOANA BO HELEHILE,negative
BONA BANNA BA SETEREKENG BA BELAELLOANG POLAONG EA LITHO TSA LELAPA ,negative
MOLOI O QETA HO THULA PALO EA MOTLAKASE KA PETA A BA A SOAHLAMANA FATŠE A PALAME MOTSENG,negative
MONNA O FUMANOA A TIMETSE TOROPONG,negative
HO HOBE HO MASHOLU,negative
MOPARAMENTE O TSOA PUO KA TŠOARO EA HAE,positive
SEPOLESA SE PHURA LESHOETLA LE BAITŠUKULI,positive
PHUTHEHO E SENYA MORUTI LITŠOBOTSI KA LEBAKA LA KOLEKE ,negative
MONNA O QOSOA KA POLAO LE HO CHESA 'M'AE,negative
SEHLOPHA SA BOLO SE KHAHLOLA SEHLOPHA SA NAHA EA BOAHISANE,positive
TONAKHOLO O HIRA LELAPA LA HAE,negative
BAITHUTI BA SEKOLO SE PHAHAMENG BA TLAMISOA THOTO KA NKANE,negative
SECHABA SE KENYA BABELAELLOA MEREBELE,positive
LEKHOTLA LE AHLOLA MOSALI 'MOHO LE MORALI LE SETLOHOLO ,negative
LETŠOLO LA HO HLOEKISA NAHA LE TSOELA PELE,positive
MOSALI O JA MOKHETHOA KA SEHLOHO,negative
TŠEBETSO EA HO LOKISA LEBALA LA LIPAPALI E QALILE ,positive
MAPOLESA A SETEREKENG A BOLAELA MOTHO LITLAMONG,negative
MONNA O QOSOA KA LETOTO LA LITLOLO TSA MOLAO,negative
MONNA O LLELOA KE LITŠEPE KA POLAO EA MOHOLOANE OA HAE,negative
MOITHUTI E MONG O HLOKAHALA A QETA HO NKA LENGOLO,negative
MAHOSANA A RE A SOABISITSOE KE BOITŠOARO BA MAPARAMENTE,negative
MORENA A SE KE A MPA A CHESA TOROPO HAPE,negative
TENTE E SULUBANTSOE FATŠE LEFUNG,negative
BATHO BA BEHA MEJA FATŠE HO EA QALA BOPHELO BOCHA,positive
TOROPO E NTSE E BONESOA HO TSOELAPELE ,negative
BATHO BA OELA HANONG LA TAU,negative
LEBENKELE LE MANEHA BATHO BA KOPILENG MOSEBETSI HO MARANG RANG BA MANEHILE LI E-MAIL TSA BAKOPI FACEBOOK,negative
MONNA O KHAMA LE HO BETA NGOAN'A LILEMO LI THARO O IKARABELLA KA HORE O BE A TAHILOE,negative
LI HONDA FIT TSA MAPOLESA LI EME MEEMO,positive
BOIPELAETSO BA BAITHUTI BA KENANG SEKOLONG SE PHAHAMENG,negative
SETOPO SE NTSE SE RAPALLETSE LEBALENG,negative
6 BILLION MALOTI E NYAMETSENG E BOTSOE PHATHI,negative
MOPARAMENTE O TŠOEROE KA PHIEO,negative
NTLO EA PUSO E KHOTHALETSA PHETISO EA TLHOPHO BOCHA,positive
TONAKHOLO O NA LE COVID,negative
UTLOA NA HOBANENG MOSALI ENOA A NTSE A BATLOA,negative
MOSALI EA HOEBANG KA 'MELE O HLAHA KHOTLA KA POLAO,negative
PITSO EA SECHABA,neutral
LIA JA LIA ROBA MALIBA HO PSHA A MATALA HLAKA LEA POTILE,negative
SESOLE SE LETŠOLONG,negative
MOPARAMENTE O JOOA KE LINTA TSA KOBO EA HAE ,negative
MOOKAMELI  O OELOA KE KOLUOA,negative
MOETAPELE O RE O MOTLOTLO KA SECHABA,positive
NGOANA O PHAPHAMETSE KA LETAMONG ESALE A NOELA LABOBELI LA BEKE E FETILENG,negative
MOFU OA ITOANELA NUL,negative
SEPOLESA SE FUOA MABONE KE KOMPONE ,positive
MAPOLESA A BASALI A MENGOA KE LEHAE LA LIKHUTSANA ,positive
MOPARAMENTE O RE O NE A SA BO HLOTHE,negative
MONNA O SA TSOA THUNNGOA SETEREKENG,negative
MONNA O FUMANA LESAKA LE OMME,negative
MOTHO O PHUTHOA KE SEPOLESA E SE E LE MOFU,negative
BAQOSUOA POLAONG EA MOOKAMELI BA HLAHA KHOTLA,positive
MOSALI EO RE ILENG RA MO KENYA MANGOLE O INEHELA SEPOLESENG,positive
SESOLE SE KHOASOLLA LITLOKOTSEBE MATSABENG,positive
LETONA LA MEHLENG KE MOFU,negative
BATHO BA 16 BA TŠOAROA BA SENA LITOKOMANE,negative
BAITHUTI BA SEKOLO SE SEHOLO BA TERAEKILE HAPE,negative
BANNA BA 5 BA NKELA LEBENKELE CHELETE HA HO LIKOTSI TSE TLALEHILOENG KAHA BA THUNYELITSE HOLIMO,negative
MOETAPELE O HLOHLELLETSA MEFEREFERE SEKOLONG SE SEHOLO,negative
NGOANA O NYAMETSE,negative
BARUI BA LIKHOHO BA HOANTELA TONAKHOLO,negative
LEKHOTLA LE TJEBELA BOKHOPO BA MOOKAMELI MATJOING,negative
HO PHAHLOHILE HABOHLOKO TJENA JOHANNESBURG KA LEBAKA LA KHASE,negative
MONNA O RE JELE,negative
BOROKHO BO BOHLOHILE,negative
MONNA O IPHILE CHEFU KAMORA HO BOLAEA MOSALI,negative
MOSALI O NYAHLATSA BANA LE MOHIRUOA O MATHA MOSE,negative
BAITHUTI BA SEKOLO SE PHAHAMENG BA KHALEMELLOA HO ICHAEA NTLOABE,negative
BANNA BA HLOTHA MOKOTLA O TŠETSENG MATSEBETSEBE KA SENYANYATSI ,negative
'MUSO O ATOLOSA MOTLAKASE LIKHOEBO TSOHLE TSE LAKATSANG HO NKA KAROLO LI A MENGOA,positive
PHATHI E LLELA HO KENA PUSONG,negative
BAPOLOTIKI BA RE BA CHONNE,negative
SEPOLESA SE PHOLOSA LIPHOOFOLO TSA BOSHOLU,positive
MAPOLESA A BATLISA KA MOFU OA MOSALI,negative
THAPAMENG EA KAJENO HO TLA BA TLHAPANTŠO EA MATONA A MACHA A MAHLANO,positive
MOKHOTHALETSUOA O MAKATSA SECHABA,positive
UTLOA MANYALA A 'MUSO HO LATELA TLHALOSO EA MOPARAMENTE,negative
MOSALI O THULANYA MONNA LE MAJOE HO FIHLELA A 'MOLAILE,negative
LESOLE LE FANA KA THUTO E MATLA SEKOLONG,positive
MOOKAMELI O HULA TŠIRELETSO EA MOCHOCHISI E MOHOLO,negative
MO JOETSENG A INEHELE SEPOLESENG O SE A NTSE A TŠOEROE,positive
SELOPO-EMERE SE BELAELLOA POLAONG EA MOCHOLOKO SETEREKENG,negative
UTLOA LITABA TSA MOPARAMENTE KA TONAKHOLO,neutral
MOETAPELE O PEPESA LERATO LA HAE HO TONAKHOLO,positive
SECHABA SE ETSA 'MESO KA 'MOLAI OA BATHO BA BABELI,negative
NAHA E ROHAKEHILE ,negative
MOHOEBI O LOKISA LITSELA HARA TOROPO BAPOLOTIKI LLA KAHORE OA IKETA,negative
SENOKOANE SE AHLOLOA LILEMO TSE 54 TOROPONG,negative
TONAKHOLO O TABOLA BOLUMARA BA MOHATSA OA TONAKHOLO EA MEHLENG,negative
HO NTSE HO BOLOKOA LITOPO TSE MASHOME A MABELI A METSO E ROBONG TOROPONG,negative
TONAKHOLO KAJENO O ABELA LIKHUTSANA LIMPHO KA CHELETE EA HAE EA MOKHOLO E KAALO KA M600 000,positive
O EMETSE NYEOE EA POLAO KA LEBAKA LA BB ,negative
MONNA EA ILENG A BOLAEA MOSALI O PHONYOHA LEFU LA SETHUNYA,positive
LEHLOA LE LEBELETSOE HO KHETHEHA BOSIUNG BA KAJENO,neutral
NGOANANA EA ILENG A BETOA HABELI O PHETA MASISA-PELO,negative
MOPARAMENTE O PHETHAHATSA MANTSOE A RENG HO ROBALA KE HO FETOHA,negative
SEBOHOLI SE RE MOSEBETSI 'MOHO O MORERONG OA HO MO FENETHA,negative
'MUSO O TLA THUSA SHOPO KA 15 MILLION FEELA E LE LOAN,positive
MOFU O AMOHELA LENGOLO LA HAE,negative
HO NKHA LEFU SEKOLONG SE PHAHAMENG,negative
SEKOLO SE TLOTLA BALAOLA SEPHETHE-PHETHE,positive
BONA MONNA EA BOLAETSENG MOSALI SETHALENG,negative
MARABELE A FENETHA MASOLE A MAHLANO,negative
BONA BAOKAMELI BA BANYANE BA SEPOLESA,positive
TSOTSI EA LETSOA-NTLE E LEQETSA LICHELETE TSA SECHABA,negative
MONNA O KHAKHATHELA MOROETSANA HO HANA HO BUA LE EENA KA TSA LEFEREHO,negative
MAPOLESA A HAPA KOAE EA MAHLAKA EA BOLENG BA 4.5 MILLION ,negative
MACHONISA O SHOELLA MOSALI OA MOTHO,negative
UTLOA MASISA-PELO A SETEREKENG,negative
SEPOLESA SE RE MAQEPHE A FACEBOOK A LESHANO,negative
MONNA OA HO TŠELA CHILISI BOTHONG BA MOSALI O HLOLEHA HO HLAHA KHOTLA ,negative
MOETI O TIMELLA KOTSING EA TEKESI,negative
KOMITI EA PARAMENTE E ROTELA LETONA ,negative
MOSALI O RE O TSOA MANTLE KA BOTHONG,negative
NAHA E KETEKA LETSATSI LA PEHO EA LIHLOMO FATŠE,positive
LEKALA LE NYEOE LI NGATA LE EKETSA BASEBETSI,positive
MOOKI EA PHOLOSITSENG SECHABA SE SENGATA MAFUNG A MELEKO,positive
LEKHOTLA LE LAELA HORE LEBENKELE LE FANTISOE,negative
MONNA EA CHAISITSENG MOTHO KA KOLOI ABA TIMELA O TŠOEROE ,negative
MOSALI O OTLUOE KA LIMPAMA A NTSE A NKILE NGOANA,negative
MAPOLESA A KHUTLA A HOSHOLA HA MOPARAMENTE,negative
MOTHO O THUNYETSOA LEFU SETEREKENG,negative
MONNA OA MOTSENG O HLABA NTJA HAPE,negative
MARABELE A MAKATSA MASOLE,negative
TONAKHOLO O AMOHELA MOIFO OA LEBOTHO,positive
TSEBA KA SENONNORI SA MOLATA SE KA HOLIMO HO MOLAO,negative
'MELAELLOA POLAONG EA SEBOHOLI O HANELOA KA BEILI,positive
MOPARAMENTE O BAPISA TONAKHOLO EA MEHLENG LE TONAKHOLO,neutral
'MUSO O TLO FUMANA LIPALO TSE LING ,positive
BAREKI BA LLA KA BAITŠOKULI SETEREKENG,negative
KETEKELO EA LETSATSI LA MACHABA LA BATHO BA NANG LE BOKOOA,positive
MOPARAMENTE O PHOQA TONAKHOLO,negative
SESOLE SE KHALEMELA MOKHA,positive
MOSALI O CHOATLA KOLOI EA MONNA A PALAMISITSE NYATSI,negative
MONNA O KHETHETSA MAKOEBA KHAHLANONG LE MOLAOLI,negative
MEMO EA BAHOEBI BA BANYENYANE,positive
KAJENO LIPONTŠO TSA LEFATŠE LI SHEBILE NAHA,positive
'MUSO O THAKHOLA TŠEBETSO EA HO RULELA MATLO A FEFOHILENG,positive
SEBONOANG SE BONOA KE BOHLE,negative
MOSHEMANE EA SHOELETSENG MOPHATONG O FUMANOE A LE METOPA EA HO SHAPUOA,negative
BASHANYANA BA BOLAILENG BANANA BA TINGOA BAIL SETEREKENG,negative
MONNA OA LAELOA HO FANA KA LIFONO,negative
E TSOHA E LE SEBONOANG MONNA O BOLAILE MOSALI,negative
BANNA BA QOSOA KA BOSHOLU BA THEPA EA BOLENG BA M265 000,negative
BAHLANKA BA 'MUSO BA SENYA MOSEBETSI KA LEBAKA LA BOSHOLU,negative
SEPOLESA SA NAHA EA BOAHISANE SE HAHARA MAKHOMOSHA,positive
THOBALANO HAESA 'NATEFELA SEKE BOHOLA FELA HORE MONNA A NRATE,negative
KOMPONE EA LITAEMANE E FA SEPOLESA KOLOI,positive
MOCHOCHISI O TŠABA HO EMA KA PELA MOAHLOLI,negative
'MOLAI EA TŠOAJOANG HAHOLO O LLETSOE KE LITŠEPE,negative
'MUSO O TŠOELA POLAO EA SEBOHOLI KA SEHLETHELA-HALI SA MATHE,negative
BANNA BA NKELA E MONG MOSALI KA SETHUNYA,negative
MOOKAMELI O TSEBA KA MORERO OA POLAO EA LIOFISIRI,negative
KE LESHANO HORE PHATHI E TLO KOPANELA PUSO,negative
SEPOLESA SE KENA LIPAKENG,positive
HO VOTILE BATHO BA LESHOME FEELA,negative
RE HETLA MORAO RE KENA KA OFISING EA MOOKAMELI OA SEPOLESA,neutral
LITABA TSE MONATE HO SECHABA SOHLE,positive
PHOESA O LATSOA HLOOANA EA MAKHOABANE,negative
LIKOETA LI FENETHA LESOLE,negative
MAPOLESA A TSETOLLA SETOPO SA MOSALI,negative
SETHO SA BOHANYETSI SE QOSA TONAKHOLO,negative
MOSALI OA IPOLAEA KAMORA HO NGOLA LE TLO NKHOPOLA HO FACEBOOK,negative
MOOKI O LAHLELOA KHOHLONG EA MORITI OA LEFU,negative
MONNA O  KENA NTLOANA-TŠOANA KA HO HLEKEFETSA MOSALI OA HAE,negative
SEPOLESA SE BATOLA BAITHUTI KA LIKULO TSA RABARA,negative
MOKULI O TJAPALLETSE KEITING EA KOKELO MANESE A HANA KA LITŠEBELETSO,negative
NGOETSI E LIKHOELI LI PELI E NOETSE KA LETŠENG,negative
PHATLALATSO EA SEPOLESA MABAPI LE BOQHEKANYETSI HO MARANG-RANG,neutral
BAITHUTI BA TINNGOE EA MALAENE,negative
SECHABA SE BOLAEA BANNA BA BABELI BA MASHOLU,negative
'MUSO O QALELETSE HO LOKISA LITSELA ,positive
MOLOI O TŠOAROA HAHA KE MONGA LELAPA ,negative
MOQHOBI O BEHOA KA PELE HO LEKHOTLA KA LEBAKA LA MOSESE,negative
LITABA TSE MONATE,positive
SEHOPOTSO SA MAPOLESA A OELENG MOLENG OA NTOA,positive
MOSALI KOETELA LESOLE,negative
BANNA BANA BA TŠOEROE BA LAETSE LINKU KAHARA 'MOTOKARA,negative
TLHOKOMELISO HO SECHABA,neutral
MONNA O TŠOENYEHILE KE LEETO LA BAKHETHOA,negative
'MUSO O TSAMAEA MEHLALENG EA MEBUSO E FETILENG,neutral
MEKHATLO E TLABOLA SELEKANE,positive
MOSALI O NKHA LEFOTHA LEFUNG LA MONNA OA HAE ,negative
MAINDIA A IKOPANYA A NTŠA BEILE EA MOINDIA,positive
UTLOA NA TONAKHOLO O RENG KA LIPAPALI BAKENG SA NAKO E TLANG,neutral
HO CHA KHONG HO SALA MOLORA,negative
PHATHI E LLA KA MELATA,negative
MOITHUTI OA SEKOLO SE PHAHAMENG O IPOLAILE,negative
MONNA  O PEPETLA BAMAMELI KA LESHANO,negative
BONA SUPHAMAKETE E CHELENG 'MOHO LE MONGA EONA OA MOSALI,negative
MOOKAMELI OA SEPOLESA O ABELA LITEREKE LIKOLOI TSE NCHA,positive
LINTLHA-KHOLO MABAPI LE MOSALI EA TŠOEROENG KA MAKOLOKOTI A TLHAPI,negative
MOLOI O PHONYOHA LEFU KA MOHLOLO A NE A LE MOTHATING OA HO CHESOA,positive
BAITHUTI BA EA ITHEKISA HO ETSA CHELETE ,negative
MOKHA O HOBOLETSE CHELETE EA BANNA MAHLO,negative
MOETAPELE O SENOLA LEQULOANA LA LITSOTSI,negative
RE KOPA HO BATLISOA KOLOI E UTSUOENG MAOBANE,negative
MOHOEBI O FUOE BEILE O TLA ROBALA HAMONATE KAJENO,positive
MOSALI OA MOIMANA O THUNYETSOA LEFU MOTŠEARE,negative
MOOKAMELI O TLA BOLOKOA SETEREKENG ,negative
BA IPHOMOLETSE 'ME' LE MORA KHETLONG LENA MOLAO O SALLANE LE BABOLAI BA BONA,negative
MOKHETHOA O THIBELA TŠITŠINYO EA HO LIA TONAKHOLO ,positive
LECHOBA LA MOETAPELE,neutral
TSEBISO TSEBISO TSEBISO,neutral
